,Old,Young,Total
2020-09-03,11,126,137
2020-09-04,14,212,226
2020-09-05,9,79,88
2020-09-06,3,19,22
2020-09-07,8,83,91
2020-09-08,12,149,161
2020-09-09,22,156,178
2020-09-10,11,175,186
2020-09-11,27,174,201
2020-09-12,6,73,79
2020-09-13,4,44,48
2020-09-14,30,158,188
2020-09-15,8,84,92
2020-09-16,10,151,161
2020-09-17,16,219,235
2020-09-18,30,260,290
2020-09-19,7,124,131
2020-09-20,6,73,79
2020-09-21,33,142,175
2020-09-22,38,300,338
2020-09-23,66,294,360
2020-09-24,52,367,419
2020-09-25,71,481,552
2020-09-26,33,445,478
2020-09-27,32,233,265
2020-09-28,39,192,231
2020-09-29,93,474,567
2020-09-30,87,710,797
2020-10-01,71,608,679
2020-10-02,105,599,704
2020-10-03,84,734,818
2020-10-04,43,310,353
2020-10-05,36,284,320
2020-10-06,91,786,877
2020-10-07,94,943,1037
2020-10-08,128,1056,1184
2020-10-09,283,1604,1887
2020-10-10,146,908,1054
2020-10-11,55,449,504
2020-10-12,67,464,531
2020-10-13,168,1242,1410
2020-10-14,290,1639,1929
2020-10-15,220,1855,2075
2020-10-16,197,1771,1968
2020-10-17,175,1392,1567
2020-10-18,101,759,860
2020-10-19,96,609,705
2020-10-20,312,1890,2202
2020-10-21,215,1513,1728
2020-10-22,253,2328,2581
2020-10-23,296,2594,2890
2020-10-24,405,2637,3042
2020-10-25,202,1110,1312
2020-10-26,130,771,901
2020-10-27,395,2492,2887
2020-10-28,444,2341,2785
2020-10-29,558,2805,3363
2020-10-30,293,2280,2573
2020-10-31,321,1961,2282
2020-11-01,190,1693,1883
2020-11-02,228,1499,1727
2020-11-03,425,2791,3216
2020-11-04,297,1665,1962
2020-11-05,308,2046,2354
2020-11-06,402,2177,2579
2020-11-07,244,1584,1828
2020-11-08,72,505,577
2020-11-09,173,878,1051
2020-11-10,331,1727,2058
2020-11-11,341,2250,2591
2020-11-12,316,1708,2024
2020-11-13,256,1515,1771
2020-11-14,177,1023,1200
2020-11-15,158,351,509
2020-11-16,253,1073,1326
2020-11-17,248,1063,1311
2020-11-18,281,1384,1665
2020-11-19,289,1529,1818
2020-11-20,343,1518,1861
2020-11-21,190,794,984
2020-11-22,40,191,231
2020-11-23,152,869,1021
2020-11-24,371,1440,1811
2020-11-25,407,1546,1953
2020-11-26,333,1516,1849
2020-11-27,321,1206,1527
2020-11-28,151,949,1100
2020-11-29,47,149,196
2020-11-30,225,1029,1254
2020-12-01,364,1679,2043
2020-12-02,269,1713,1982
2020-12-03,361,1823,2184
2020-12-04,267,1803,2070
2020-12-05,310,959,1269
2020-12-06,93,459,552
2020-12-07,356,1593,1949
2020-12-08,343,2221,2564
2020-12-09,415,2710,3125
2020-12-10,317,1849,2166
2020-12-11,507,3200,3707
2020-12-12,444,1746,2190
2020-12-13,70,435,505
2020-12-14,320,1714,2034
2020-12-15,578,2987,3565
2020-12-16,421,2624,3045
2020-12-17,604,3387,3991
2020-12-18,443,2708,3151
2020-12-19,264,1797,2061
2020-12-20,173,1046,1219
2020-12-21,366,2297,2663
2020-12-22,627,3060,3687
2020-12-23,504,2153,2657
2020-12-24,489,3557,4046
2020-12-25,134,907,1041
2020-12-26,135,739,874
2020-12-27,115,454,569
2020-12-28,305,1790,2095
2020-12-29,488,2553,3041
2020-12-30,823,5492,6315
2020-12-31,626,4339,4965
2021-01-01,205,1531,1736
2021-01-02,173,1046,1219
2021-01-03,87,549,636
2021-01-04,431,2558,2989
2021-01-05,690,4269,4959
2021-01-06,242,1895,2137
2021-01-07,425,2555,2980
2021-01-08,558,3514,4072
2021-01-09,622,2351,2973
2021-01-10,128,732,860
2021-01-11,373,2037,2410
2021-01-12,503,3073,3576
2021-01-13,457,2466,2923
2021-01-14,537,2192,2729
2021-01-15,360,1685,2045
2021-01-17,173,887,1060
2021-01-16,99,474,573
2021-01-18,349,1560,1909
2021-01-19,375,2109,2484
2021-01-20,367,2097,2464
2021-01-21,248,1537,1785
2021-01-22,277,1267,1544
2021-01-23,297,1608,1905
2021-01-24,72,479,551
2021-01-25,321,1269,1590
2021-01-26,380,2395,2775
2021-01-27,302,1733,2035
2021-01-28,379,2202,2581
2021-01-29,101,890,991
2021-01-30,266,1457,1723
2021-01-31,67,377,444
2021-02-01,290,1447,1737
2021-02-02,385,2347,2732
2021-02-03,333,1744,2077
2021-02-04,344,2286,2630
2021-02-05,335,1906,2241
2021-02-06,185,1367,1552
2021-02-07,103,654,757
2021-02-08,349,1375,1724
2021-02-09,466,2713,3179
2021-02-10,308,2179,2487
2021-02-11,309,2122,2431
2021-02-12,311,2019,2330
2021-02-13,180,1268,1448
2021-02-14,76,496,572
2021-02-15,271,1171,1442
2021-02-16,385,2783,3168
2021-02-17,360,2195,2555
2021-02-18,317,2016,2333
2021-02-19,372,2333,2705
2021-02-20,190,1496,1686
2021-02-21,94,555,649
2021-02-22,287,1711,1998
2021-02-23,461,3086,3547
2021-02-24,328,2110,2438
2021-02-25,360,2285,2645
2021-02-26,318,2530,2848
