Date,Vaccine_name,D1,D2
2021-05-23,Pfizer,14478,279
2021-05-23,AstraZeneca,14,6032
2021-05-23,Moderna,273,1337
2021-05-22,Pfizer,12682,365
2021-05-22,AstraZeneca,1193,12664
2021-05-22,Moderna,1198,711
2021-05-21,Pfizer,24033,3832
2021-05-21,AstraZeneca,0,1281
2021-05-21,Moderna,2638,1238
2021-05-20,Pfizer,18506,4078
2021-05-20,AstraZeneca,6,7960
2021-05-20,Moderna,3106,1208
2021-05-19,Pfizer,18575,4709
2021-05-19,AstraZeneca,2,3390
2021-05-19,Moderna,3015,1162
2021-05-18,Pfizer,17333,6764
2021-05-18,AstraZeneca,0,1845
2021-05-18,Moderna,2506,1640
2021-05-17,Pfizer,19904,6908
2021-05-17,AstraZeneca,0,836
2021-05-17,Moderna,2091,4127
2021-05-16,Pfizer,18473,183
2021-05-16,AstraZeneca,986,9038
2021-05-16,Moderna,3512,2
2021-05-15,Pfizer,22904,504
2021-05-15,AstraZeneca,1266,19402
2021-05-15,Moderna,1586,528
2021-05-14,Pfizer,20285,5664
2021-05-14,AstraZeneca,34,6273
2021-05-14,Moderna,1388,2647
2021-05-13,Pfizer,16571,5340
2021-05-13,AstraZeneca,94,4075
2021-05-13,Moderna,1371,2682
2021-05-12,Pfizer,17496,5783
2021-05-12,AstraZeneca,1,637
2021-05-12,Moderna,1428,4518
2021-05-11,Pfizer,19797,4588
2021-05-11,AstraZeneca,53,1048
2021-05-11,Moderna,1848,2513
2021-05-10,Pfizer,21924,4911
2021-05-10,AstraZeneca,641,209
2021-05-10,Moderna,1809,2262
2021-05-09,Pfizer,19410,196
2021-05-09,AstraZeneca,5378,2765
2021-05-09,Moderna,4580,1
2021-05-08,Pfizer,26509,586
2021-05-08,AstraZeneca,5094,9064
2021-05-08,Moderna,2284,629
2021-05-07,Pfizer,8942,9757
2021-05-07,AstraZeneca,4604,2747
2021-05-07,Moderna,1428,2284
2021-05-06,Pfizer,7969,9745
2021-05-06,AstraZeneca,2742,1612
2021-05-06,Moderna,1604,2290
2021-05-05,Pfizer,3044,13704
2021-05-05,AstraZeneca,1167,435
2021-05-05,Moderna,1961,3841
2021-05-04,Pfizer,8351,12206
2021-05-04,AstraZeneca,463,635
2021-05-04,Moderna,1740,2041
2021-05-03,Pfizer,15970,2866
2021-05-03,AstraZeneca,253,41
2021-05-03,Moderna,2951,51
2021-05-02,AstraZeneca,2453,3268
2021-05-02,Pfizer,13468,19
2021-05-02,Moderna,1335,1
2021-05-01,Pfizer,14779,1002
2021-05-01,AstraZeneca,11396,3222
2021-05-01,Moderna,931,4
2021-04-30,Pfizer,11657,7048
2021-04-30,AstraZeneca,3671,2392
2021-04-30,Moderna,3475,253
2021-04-29,Pfizer,2927,14062
2021-04-29,AstraZeneca,3556,525
2021-04-29,Moderna,1359,2413
2021-04-28,Pfizer,2777,14107
2021-04-28,AstraZeneca,1561,55
2021-04-28,Moderna,1720,2122
2021-04-27,Pfizer,2594,13563
2021-04-27,AstraZeneca,901,274
2021-04-27,Moderna,1915,2243
2021-04-26,Pfizer,2337,12775
2021-04-26,AstraZeneca,4302,4023
2021-04-26,Moderna,1522,2361
2021-04-25,Pfizer,276,174
2021-04-25,AstraZeneca,9116,5600
2021-04-25,Moderna,3855,1
2021-04-24,AstraZeneca,12894,5756
2021-04-24,Pfizer,365,834
2021-04-24,Moderna,1321,167
2021-04-23,Pfizer,4328,13850
2021-04-23,AstraZeneca,3292,14
2021-04-23,Moderna,1495,1627
2021-04-22,Pfizer,4332,11896
2021-04-22,AstraZeneca,3102,1
2021-04-22,Moderna,1472,1900
2021-04-21,Pfizer,3957,12114
2021-04-21,AstraZeneca,2232,1
2021-04-21,Moderna,1308,1951
2021-04-20,Pfizer,4630,12308
2021-04-20,AstraZeneca,1986,0
2021-04-20,Moderna,1561,1929
2021-04-19,Pfizer,5927,10366
2021-04-19,AstraZeneca,1469,1
2021-04-19,Moderna,2083,1326
2021-04-18,Pfizer,176,4
2021-04-18,AstraZeneca,10177,90
2021-04-18,Moderna,1955,0
2021-04-17,AstraZeneca,24572,137
2021-04-17,Pfizer,993,226
2021-04-17,Moderna,177,4
2021-04-16,Pfizer,5046,12507
2021-04-16,AstraZeneca,7015,56
2021-04-16,Moderna,2864,196
2021-04-15,Pfizer,4697,12654
2021-04-15,AstraZeneca,3773,2
2021-04-15,Moderna,2903,113
2021-04-14,Pfizer,5207,11116
2021-04-14,AstraZeneca,2191,0
2021-04-14,Moderna,2900,62
2021-04-13,Pfizer,4838,11562
2021-04-13,AstraZeneca,2181,0
2021-04-13,Moderna,2623,77
2021-04-12,Pfizer,5201,10380
2021-04-12,AstraZeneca,1848,0
2021-04-12,Moderna,4747,62
2021-04-11,AstraZeneca,19566,16
2021-04-11,Pfizer,232,1248
2021-04-11,Moderna,0,0
2021-04-10,AstraZeneca,20234,9
2021-04-10,Pfizer,592,853
2021-04-10,Moderna,0,0
2021-04-09,Pfizer,9428,9557
2021-04-09,AstraZeneca,5182,6
2021-04-09,Moderna,2402,62
2021-04-08,Pfizer,8565,8075
2021-04-08,AstraZeneca,3918,0
2021-04-08,Moderna,2783,38
2021-04-07,Pfizer,15253,2182
2021-04-07,AstraZeneca,1137,1
2021-04-07,Moderna,4350,38
2021-04-06,Pfizer,13185,3442
2021-04-06,AstraZeneca,934,0
2021-04-06,Moderna,2503,57
2021-04-05,Pfizer,369,4
2021-04-05,Moderna,0,0
2021-04-05,AstraZeneca,0,0
2021-04-04,AstraZeneca,4096,0
2021-04-04,Moderna,0,0
2021-04-04,Pfizer,0,0
2021-04-03,AstraZeneca,10192,0
2021-04-03,Moderna,0,109
2021-04-03,Pfizer,1092,55
2021-04-02,Pfizer,1001,75
2021-04-02,AstraZeneca,3654,27
2021-04-02,Moderna,0,0
2021-04-01,Pfizer,13663,1642
2021-04-01,AstraZeneca,4113,3
2021-04-01,Moderna,2570,83
2021-03-31,Pfizer,15252,1780
2021-03-31,AstraZeneca,3432,0
2021-03-31,Moderna,2478,178
2021-03-30,Pfizer,15271,1709
2021-03-30,AstraZeneca,1378,26
2021-03-30,Moderna,2555,168
2021-03-29,Pfizer,14967,1121
2021-03-29,AstraZeneca,2118,0
2021-03-29,Moderna,3122,199
2021-03-28,Pfizer,179,1
2021-03-28,AstraZeneca,8971,0
2021-03-28,Moderna,0,0
2021-03-27,AstraZeneca,13436,2
2021-03-27,Pfizer,712,152
2021-03-27,Moderna,176,11
2021-03-26,Pfizer,14107,1326
2021-03-26,AstraZeneca,2142,1
2021-03-26,Moderna,1707,681
2021-03-25,Pfizer,12581,2323
2021-03-25,AstraZeneca,2211,0
2021-03-25,Moderna,2287,659
2021-03-24,Pfizer,12886,3363
2021-03-24,AstraZeneca,3413,1
2021-03-24,Moderna,2336,728
2021-03-23,Pfizer,12718,3485
2021-03-23,AstraZeneca,3527,0
2021-03-23,Moderna,2355,1092
2021-03-22,Pfizer,12382,2234
2021-03-22,AstraZeneca,4442,0
2021-03-22,Moderna,1911,1087
2021-03-21,AstraZeneca,14993,0
2021-03-21,Pfizer,319,177
2021-03-21,Moderna,11,580
2021-03-20,AstraZeneca,17928,0
2021-03-20,Pfizer,637,501
2021-03-20,Moderna,14,1096
2021-03-19,Pfizer,11979,3606
2021-03-19,AstraZeneca,1224,0
2021-03-19,Moderna,225,2562
2021-03-18,Pfizer,13575,2586
2021-03-18,AstraZeneca,3357,7
2021-03-18,Moderna,248,1275
2021-03-17,Pfizer,11854,2213
2021-03-17,AstraZeneca,3851,0
2021-03-17,Moderna,236,1578
2021-03-16,Pfizer,12703,1931
2021-03-16,AstraZeneca,3066,58
2021-03-16,Moderna,231,1544
2021-03-15,Pfizer,10897,2043
2021-03-15,AstraZeneca,3201,0
2021-03-15,Moderna,314,1824
2021-03-14,AstraZeneca,14950,0
2021-03-14,Pfizer,1285,176
2021-03-14,Moderna,0,0
2021-03-13,AstraZeneca,20268,0
2021-03-13,Pfizer,1206,402
2021-03-13,Moderna,15,1730
2021-03-12,Pfizer,9379,5244
2021-03-12,AstraZeneca,4128,0
2021-03-12,Moderna,168,974
2021-03-11,Pfizer,8484,6431
2021-03-11,AstraZeneca,2812,0
2021-03-11,Moderna,100,548
2021-03-10,Pfizer,1529,6216
2021-03-10,AstraZeneca,2354,0
2021-03-10,Moderna,107,542
2021-03-09,Pfizer,2064,6429
2021-03-09,AstraZeneca,1125,0
2021-03-09,Moderna,40,348
2021-03-08,Pfizer,1051,8288
2021-03-08,AstraZeneca,4028,0
2021-03-08,Moderna,66,368
2021-03-07,AstraZeneca,12449,0
2021-03-07,Pfizer,0,192
2021-03-07,Moderna,0,0
2021-03-06,AstraZeneca,18380,0
2021-03-06,Pfizer,309,503
2021-03-06,Moderna,105,1555
2021-03-05,Pfizer,2309,7226
2021-03-05,AstraZeneca,3256,0
2021-03-05,Moderna,0,0
2021-03-04,Pfizer,1431,8682
2021-03-04,AstraZeneca,2889,0
2021-03-04,Moderna,50,0
2021-03-03,Pfizer,1648,9098
2021-03-03,AstraZeneca,2527,0
2021-03-03,Moderna,60,0
2021-03-02,Pfizer,1610,9682
2021-03-02,AstraZeneca,3830,0
2021-03-02,Moderna,150,0
2021-03-01,Pfizer,1597,9205
2021-03-01,AstraZeneca,4114,0
2021-03-01,Moderna,221,0
2021-02-28,AstraZeneca,5566,0
2021-02-28,Pfizer,0,0
2021-02-27,AstraZeneca,8810,0
2021-02-27,Pfizer,14,884
2021-02-27,Moderna,0,0
2021-02-26,Pfizer,1620,9063
2021-02-26,AstraZeneca,1637,0
2021-02-26,Moderna,664,0
2021-02-25,Pfizer,1252,7766
2021-02-25,AstraZeneca,1448,0
2021-02-25,Moderna,522,93
2021-02-24,Pfizer,3904,6754
2021-02-24,AstraZeneca,1639,0
2021-02-24,Moderna,605,66
2021-02-23,Pfizer,3576,6561
2021-02-23,AstraZeneca,1347,0
2021-02-23,Moderna,1228,0
2021-02-22,Pfizer,2894,6890
2021-02-22,AstraZeneca,1556,0
2021-02-22,Moderna,1176,0
2021-02-21,Pfizer,180,0
2021-02-21,AstraZeneca,5536,0
2021-02-21,Moderna,600,0
2021-02-20,Pfizer,329,283
2021-02-20,AstraZeneca,5511,0
2021-02-20,Moderna,520,0
2021-02-19,Pfizer,3523,6844
2021-02-19,AstraZeneca,0,0
2021-02-19,Moderna,2810,0
2021-02-18,Pfizer,2307,6597
2021-02-18,AstraZeneca,380,0
2021-02-18,Moderna,1907,0
2021-02-17,Pfizer,2497,6058
2021-02-17,AstraZeneca,1300,0
2021-02-17,Moderna,1763,0
2021-02-16,Pfizer,2061,6348
2021-02-16,AstraZeneca,1290,0
2021-02-16,Moderna,1633,0
2021-02-15,Pfizer,2393,6797
2021-02-15,AstraZeneca,2079,0
2021-02-15,Moderna,2254,0
2021-02-14,Pfizer,270,205
2021-02-14,AstraZeneca,8560,0
2021-02-14,Moderna,1773,0
2021-02-13,Pfizer,635,419
2021-02-13,AstraZeneca,3255,0
2021-02-13,Moderna,0,0
2021-02-12,Pfizer,6535,6393
2021-02-12,AstraZeneca,0,0
2021-02-12,Moderna,1160,0
2021-02-11,Pfizer,6710,6601
2021-02-11,Moderna,479,0
2021-02-10,Pfizer,5967,6506
2021-02-10,Moderna,588,0
2021-02-09,Pfizer,7035,7540
2021-02-09,Moderna,284,0
2021-02-08,Pfizer,7023,3886
2021-02-08,Moderna,373,0
2021-02-07,Pfizer,180,0
2021-02-07,Moderna,0,0
2021-02-06,Pfizer,539,696
2021-02-06,Moderna,1549,0
2021-02-05,Pfizer,8330,6665
2021-02-05,Moderna,50,0
2021-02-04,Pfizer,8870,5551
2021-02-04,Moderna,0,0
2021-02-03,Pfizer,9375,2330
2021-02-03,Moderna,0,0
2021-02-02,Pfizer,8812,3445
2021-02-02,Moderna,0,0
2021-02-01,Pfizer,8851,2909
2021-02-01,Moderna,0,0
2021-01-31,Pfizer,113,168
2021-01-31,Moderna,0,0
2021-01-30,Pfizer,1389,3
2021-01-30,Moderna,0,0
2021-01-29,Pfizer,9465,2334
2021-01-29,Moderna,0,0
2021-01-28,Pfizer,8350,1522
2021-01-28,Moderna,0,0
2021-01-27,Pfizer,6721,272
2021-01-27,Moderna,70,0
2021-01-26,Pfizer,6972,256
2021-01-26,Moderna,0,0
2021-01-25,Pfizer,6668,2293
2021-01-24,Pfizer,0,0
2021-01-23,Pfizer,276,0
2021-01-22,Pfizer,6637,133
2021-01-21,Pfizer,6671,648
2021-01-20,Pfizer,7018,864
2021-01-19,Pfizer,7490,461
2021-01-18,Pfizer,8386,582
2021-01-17,Pfizer,54,0
2021-01-16,Pfizer,1362,0
2021-01-15,Pfizer,7854,0
2021-01-14,Pfizer,7456,0
2021-01-13,Pfizer,6750,0
2021-01-12,Pfizer,10566,0
2021-01-11,Pfizer,4055,0
2021-01-10,Pfizer,3045,0
2021-01-09,Pfizer,1609,0
2021-01-08,Pfizer,7041,0
2021-01-07,Pfizer,7043,0
2021-01-06,Pfizer,6193,0
2021-01-05,Pfizer,425,0
2021-01-04,Pfizer,0,0
