"","date","X0.1","X0.25","X0.5","X0.75","X0.9","newcases"
"1",2021-04-07,2791.6,3226.25,4282.5,6157.75,9226.1,NA
"2",2021-04-06,2974,3399.75,4468,6617.5,9434.5,NA
"3",2021-04-05,3241.9,3699.75,4789,6895,10022.8,NA
"4",2021-04-04,3168,3658,4701,6720.25,9504.9,NA
"5",2021-04-03,4155.7,4727.75,5993.5,8361.75,11515.6,NA
"6",2021-04-02,3326,3820.25,4840.5,6734.75,9571,NA
"7",2021-04-01,3074,3525.75,4459,6296.25,8835.5,NA
"8",2021-03-31,3207,3654.75,4599.5,6383.5,8839.2,NA
"9",2021-03-30,3441.8,3881,4850,6694,9173.2,NA
"10",2021-03-29,3709.9,4160,5173.5,7030.75,9599.5,NA
"11",2021-03-28,3614.9,4100.75,5092.5,6859.5,9208,NA
"12",2021-03-27,4717.4,5313,6423,8472.75,11195.7,NA
"13",2021-03-26,3805.9,4284,5220,7011.5,9168.6,NA
"14",2021-03-25,3479.6,3960.25,4845.5,6356.25,8462.5,NA
"15",2021-03-24,3613.8,4079.5,4975,6507.75,8486.1,NA
"16",2021-03-23,3829,4360,5225.5,6777.5,8821.2,NA
"17",2021-03-22,4139.9,4665.75,5584.5,7096,9146.6,NA
"18",2021-03-21,4062.5,4520.75,5398.5,6917,8835.2,NA
"19",2021-03-20,5216.7,5859.75,6868,8630.25,10820.2,NA
"20",2021-03-19,4188,4681,5572,7037,8731.1,NA
"21",2021-03-18,3887.9,4361.75,5115.5,6390.25,7985.1,NA
"22",2021-03-17,4032.7,4485.75,5277.5,6602.75,8139.1,NA
"23",2021-03-16,4245.8,4740,5519,6853.5,8296.1,NA
"24",2021-03-15,4596.6,5078,5916.5,7247.25,8732,NA
"25",2021-03-14,4436,4939.25,5717,6940.25,8435.4,NA
"26",2021-03-13,5692.8,6277.75,7267.5,8562.25,10144.7,NA
"27",2021-03-12,4630.6,5122,5870.5,6992.5,8349.1,NA
"28",2021-03-11,4291.8,4711.25,5432,6462,7619.7,NA
"29",2021-03-10,4449.9,4847.25,5592.5,6607,7624,NA
"30",2021-03-09,4656.9,5058.75,5799.5,6867,7837.4,NA
"31",2021-03-08,5016,5440,6151.5,7214,8220.8,NA
"32",2021-03-07,4915.9,5298.75,6009,6976.75,7886.7,NA
"33",2021-03-06,6238.9,6677.25,7477,8552.5,9536.1,NA
"34",2021-03-05,5099.8,5445.5,6090,6977,7762.2,NA
"35",2021-03-04,4655.9,4994,5579,6362,7180.1,NA
"36",2021-03-03,4848.8,5187.5,5699,6506.25,7235.1,NA
"37",2021-03-02,5091.8,5422.75,5995,6785,7396,NA
"38",2021-03-01,5472.9,5820,6313,7132.5,7850.7,NA
"39",2021-02-28,5356.9,5682,6161.5,6897.5,7476.3,NA
"40",2021-02-27,6650.9,7039,7610,8350.25,9084.1,NA
"41",2021-02-26,5510,5819.75,6258,6849.25,7457.3,NA
"42",2021-02-25,5091,5394,5784,6316.25,6908.2,NA
"43",2021-02-24,5253.7,5564,5948.5,6441,6931.3,NA
"44",2021-02-23,5507.9,5830,6212,6673.5,7144.2,NA
"45",2021-02-22,5903.8,6247.75,6615,7029,7511.3,NA
"46",2021-02-21,5782.9,6090,6432.5,6819.5,7244.8,NA
"47",2021-02-20,6741.5,7344,7884.5,8335,8808.2,NA
"48",2021-02-19,5897.9,6272.75,6603,6946.25,7329.2,NA
"49",2021-02-18,NA,NA,NA,NA,NA,8356.46637785793
"50",2021-02-17,NA,NA,NA,NA,NA,8399.36737183463
"51",2021-02-16,NA,NA,NA,NA,NA,8374.84586679827
"52",2021-02-15,NA,NA,NA,NA,NA,8853.87617534358
"53",2021-02-14,NA,NA,NA,NA,NA,8514.23921715105
"54",2021-02-13,NA,NA,NA,NA,NA,10369.5567311096
"55",2021-02-12,NA,NA,NA,NA,NA,8940.72987427621
"56",2021-02-11,NA,NA,NA,NA,NA,8186.40466888624
"57",2021-02-10,NA,NA,NA,NA,NA,8576.03456317836
"58",2021-02-09,NA,NA,NA,NA,NA,8695.65920195894
"59",2021-02-08,NA,NA,NA,NA,NA,9324.02578586895
"60",2021-02-07,NA,NA,NA,NA,NA,8993.72380281741
"61",2021-02-06,NA,NA,NA,NA,NA,11206.245773016
"62",2021-02-05,NA,NA,NA,NA,NA,8795.26051545572
"63",2021-02-04,NA,NA,NA,NA,NA,8626.90522430692
"64",2021-02-03,NA,NA,NA,NA,NA,8885.96403218896
"65",2021-02-02,NA,NA,NA,NA,NA,8536.95807578571
"66",2021-02-01,NA,NA,NA,NA,NA,8947.09705329828
"67",2021-01-31,NA,NA,NA,NA,NA,8388.26698644568
"68",2021-01-30,NA,NA,NA,NA,NA,9860.87051858429
"69",2021-01-29,NA,NA,NA,NA,NA,8042.49338105028
"70",2021-01-28,NA,NA,NA,NA,NA,7402.52166705891
"71",2021-01-27,NA,NA,NA,NA,NA,7051.80100800528
"72",2021-01-26,NA,NA,NA,NA,NA,7895.41384276847
"73",2021-01-25,NA,NA,NA,NA,NA,8090.56596872197
"74",2021-01-24,NA,NA,NA,NA,NA,8006
"75",2021-01-23,NA,NA,NA,NA,NA,10534
"76",2021-01-22,NA,NA,NA,NA,NA,7917.59388059865
"77",2021-01-21,NA,NA,NA,NA,NA,8348.64686751719
"78",2021-01-20,NA,NA,NA,NA,NA,7496.90267859258
"79",2021-01-19,NA,NA,NA,NA,NA,7934.74432595811
"80",2021-01-18,NA,NA,NA,NA,NA,8309.15516831144
"81",2021-01-17,NA,NA,NA,NA,NA,6634.94488076114
"82",2021-01-16,NA,NA,NA,NA,NA,7232
"83",2021-01-15,NA,NA,NA,NA,NA,7074.61657378443
"84",2021-01-14,NA,NA,NA,NA,NA,7083.84412939797
"85",2021-01-13,NA,NA,NA,NA,NA,7411.94131825582
"86",2021-01-12,NA,NA,NA,NA,NA,7850.68656882155
"87",2021-01-11,NA,NA,NA,NA,NA,7892.84165000662
"88",2021-01-10,NA,NA,NA,NA,NA,5077
"89",2021-01-09,NA,NA,NA,NA,NA,4352
"90",2021-01-08,NA,NA,NA,NA,NA,8425.99218982342
