"","date","X0.1","X0.25","X0.5","X0.75","X0.9","ventilated"
"1",2021-04-07,157.046814914674,185.074343991069,235.516867483644,334.991684940563,470.168070406183,NA
"2",2021-04-06,158.913027129098,187.667980739797,237.406472028742,335.533758862771,465.814233700378,NA
"3",2021-04-05,160.975227413238,190.293094529482,239.432552044621,336.042292193629,461.780968195924,NA
"4",2021-04-04,163.238440052557,192.957669733721,241.59841341267,336.5297417781,458.070735561459,NA
"5",2021-04-03,165.716210774203,195.632765512545,243.920112708416,336.954589895338,454.663632912947,NA
"6",2021-04-02,168.402826139388,198.322498029116,246.385775561671,337.339404531692,451.55767509978,NA
"7",2021-04-01,171.274421684663,201.084437161726,248.956811435247,337.792771092919,448.782200390729,NA
"8",2021-03-31,174.583558704206,204.259999178085,251.9200195884,338.544144644448,447.01747287954,NA
"9",2021-03-30,178.229447957077,207.749119996984,255.169889254399,339.504599784105,445.986627507946,NA
"10",2021-03-29,181.658199177155,210.947148973335,258.079364857075,340.305151216236,444.283308816694,NA
"11",2021-03-28,184.635188868729,213.299192856757,260.115192155484,340.533138523101,441.10737921693,NA
"12",2021-03-27,187.398582283685,215.193708773121,261.757565724779,340.492833502597,437.230183063363,NA
"13",2021-03-26,190.103672277292,217.441071641716,263.89960321294,340.890649182533,433.602587812091,NA
"14",2021-03-25,192.703427205218,220.541575024201,267.089032784027,342.271946521821,430.425894657981,NA
"15",2021-03-24,195.216253682571,224.016595453023,270.757751339793,344.106991005811,427.347151171508,NA
"16",2021-03-23,197.89560195378,227.208132303659,274.125129634755,345.489552451966,424.485844372182,NA
"17",2021-03-22,200.69895190885,229.725513099488,276.899518624972,346.173251120769,421.943726914075,NA
"18",2021-03-21,203.564425596204,231.977388762379,279.387203813813,346.561548660122,419.619978530803,NA
"19",2021-03-20,206.716436497898,234.504743765538,281.704457776761,346.722976968608,417.330226861198,NA
"20",2021-03-19,210.295578673412,237.453417117264,283.733065371803,346.385579740522,414.971732299497,NA
"21",2021-03-18,214.184081993004,240.592453004055,285.638780071047,345.695647610266,412.689211912342,NA
"22",2021-03-17,218.218813654895,243.897643666414,287.963827371152,345.349082886588,410.669478347175,NA
"23",2021-03-16,222.566987890592,247.67236621372,291.131921092242,345.618500762382,409.342364301683,NA
"24",2021-03-15,227.144032320511,251.739879042257,294.675520363217,346.145685613164,408.382145121488,NA
"25",2021-03-14,231.409134226248,255.355796322892,297.799968643913,346.680293521623,406.842297425937,NA
"26",2021-03-13,234.750131615788,257.835463564179,299.874514967307,346.74091195385,403.75017355427,NA
"27",2021-03-12,237.685485836434,259.777883514174,301.482027255657,346.721647316987,399.886484526544,NA
"28",2021-03-11,241.370319178759,262.364156202992,303.648277302711,347.68543410529,396.934744983338,NA
"29",2021-03-10,246.453130938577,266.010958361184,307.057755362362,350.53572501358,395.646559333467,NA
"30",2021-03-09,252.191787025802,270.126015045454,311.06291296565,354.39845627333,395.133263557027,NA
"31",2021-03-08,257.655459652152,274.376998775141,314.691463822054,357.670287683772,394.617969651515,NA
"32",2021-03-07,262.354616120594,278.579436230384,317.211033611315,359.703798383052,393.817997958835,NA
"33",2021-03-06,266.885321015023,282.996907239065,319.263268335919,361.283012740466,393.185030735739,NA
"34",2021-03-05,271.945142468558,287.969164042144,321.936912189463,362.951758401966,393.043722851988,NA
"35",2021-03-04,277.859403821177,293.959190705746,325.778062392349,364.986534940635,393.77143887029,NA
"36",2021-03-03,284.250739934477,300.559684790908,330.251415241916,367.141268506396,394.97029113892,NA
"37",2021-03-02,290.762686224003,306.804968780962,334.823613547161,369.175926610465,395.80205620599,NA
"38",2021-03-01,297.658292081268,312.392558304026,339.882040729925,371.380143300992,396.604380656151,NA
"39",2021-02-28,304.865239451253,317.746195324469,345.299141451564,373.63806268277,397.438861049083,NA
"40",2021-02-27,311.524012579713,322.989541830002,349.769150380342,375.101417351974,397.053198895444,NA
"41",2021-02-26,317.89086958262,328.960819063516,353.593849191259,376.293902374401,395.703101622868,NA
"42",2021-02-25,323.996324897578,335.061095248129,356.887482173184,377.040214585172,393.529749513996,NA
"43",2021-02-24,328.642247252785,339.25830284189,358.062977915187,375.443589234447,389.109053361994,NA
"44",2021-02-23,331.681329545344,341.316305991696,356.902648821916,371.263850525999,382.266539152346,NA
"45",2021-02-22,333.585563738588,342.047050757132,354.026976152482,365.254281351476,373.538414033386,NA
"46",2021-02-21,334.085767160055,340.990592465282,349.106141777647,357.008304992849,362.566610542562,NA
"47",2021-02-20,333.035379358019,337.905701449655,341.96987263385,346.320945321585,349.167768342309,NA
"48",2021-02-19,330.550943840462,332.997066466877,332.765078371043,333.377593665963,333.503541696749,NA
"49",2021-02-18,NA,NA,NA,NA,NA,323
"50",2021-02-17,NA,NA,NA,NA,NA,328
"51",2021-02-16,NA,NA,NA,NA,NA,323
"52",2021-02-15,NA,NA,NA,NA,NA,337
"53",2021-02-14,NA,NA,NA,NA,NA,321
"54",2021-02-13,NA,NA,NA,NA,NA,321
"55",2021-02-12,NA,NA,NA,NA,NA,320
"56",2021-02-11,NA,NA,NA,NA,NA,310
"57",2021-02-10,NA,NA,NA,NA,NA,313
"58",2021-02-09,NA,NA,NA,NA,NA,321
"59",2021-02-08,NA,NA,NA,NA,NA,316
"60",2021-02-07,NA,NA,NA,NA,NA,312
"61",2021-02-06,NA,NA,NA,NA,NA,297
"62",2021-02-05,NA,NA,NA,NA,NA,299
"63",2021-02-04,NA,NA,NA,NA,NA,293
"64",2021-02-03,NA,NA,NA,NA,NA,281
"65",2021-02-02,NA,NA,NA,NA,NA,287
"66",2021-02-01,NA,NA,NA,NA,NA,307
"67",2021-01-31,NA,NA,NA,NA,NA,316
"68",2021-01-30,NA,NA,NA,NA,NA,307
"69",2021-01-29,NA,NA,NA,NA,NA,305
"70",2021-01-28,NA,NA,NA,NA,NA,308
"71",2021-01-27,NA,NA,NA,NA,NA,312
"72",2021-01-26,NA,NA,NA,NA,NA,310
"73",2021-01-25,NA,NA,NA,NA,NA,319
"74",2021-01-24,NA,NA,NA,NA,NA,315
"75",2021-01-23,NA,NA,NA,NA,NA,321
"76",2021-01-22,NA,NA,NA,NA,NA,328
"77",2021-01-21,NA,NA,NA,NA,NA,322
"78",2021-01-20,NA,NA,NA,NA,NA,319
"79",2021-01-19,NA,NA,NA,NA,NA,311
"80",2021-01-18,NA,NA,NA,NA,NA,296
"81",2021-01-17,NA,NA,NA,NA,NA,297
"82",2021-01-16,NA,NA,NA,NA,NA,287
"83",2021-01-15,NA,NA,NA,NA,NA,277
"84",2021-01-14,NA,NA,NA,NA,NA,279
"85",2021-01-13,NA,NA,NA,NA,NA,246
"86",2021-01-12,NA,NA,NA,NA,NA,253
"87",2021-01-11,NA,NA,NA,NA,NA,261
"88",2021-01-10,NA,NA,NA,NA,NA,251
"89",2021-01-09,NA,NA,NA,NA,NA,253
"90",2021-01-08,NA,NA,NA,NA,NA,249
